"pop_a","pop_b","residual"
"P1","P1",0
"P2","P1",-0.058
"P3","P1",0.028
"P4","P1",0.059
"P5","P1",0.159
"P6","P1",0.475
"P7","P1",0.059
"P8","P1",2.172
"P9","P1",-0.314
"P10","P1",0.056
"P1","P2",-0.058
"P2","P2",0
"P3","P2",2.188
"P4","P2",0.09
"P5","P2",0.04
"P6","P2",0.033
"P7","P2",-0.303
"P8","P2",0.037
"P9","P2",0.109
"P10","P2",0.566
"P1","P3",0.028
"P2","P3",2.188
"P3","P3",0
"P4","P3",-0.052
"P5","P3",0.196
"P6","P3",-0.205
"P7","P3",-0.084
"P8","P3",-0.098
"P9","P3",0.077
"P10","P3",0.028
"P1","P4",0.059
"P2","P4",0.09
"P3","P4",-0.052
"P4","P4",0
"P5","P4",0.006
"P6","P4",0.152
"P7","P4",0.047
"P8","P4",0.026
"P9","P4",0.237
"P10","P4",-0.136
"P1","P5",0.159
"P2","P5",0.04
"P3","P5",0.196
"P4","P5",0.006
"P5","P5",0
"P6","P5",1.842
"P7","P5",0.189
"P8","P5",0.1
"P9","P5",-0.206
"P10","P5",0.048
"P1","P6",0.475
"P2","P6",0.033
"P3","P6",-0.205
"P4","P6",0.152
"P5","P6",1.842
"P6","P6",0
"P7","P6",-0.002
"P8","P6",-0.076
"P9","P6",0
"P10","P6",0.016
"P1","P7",0.059
"P2","P7",-0.303
"P3","P7",-0.084
"P4","P7",0.047
"P5","P7",0.189
"P6","P7",-0.002
"P7","P7",0
"P8","P7",0.166
"P9","P7",-0.046
"P10","P7",2.398
"P1","P8",2.172
"P2","P8",0.037
"P3","P8",-0.098
"P4","P8",0.026
"P5","P8",0.1
"P6","P8",-0.076
"P7","P8",0.166
"P8","P8",0
"P9","P8",0.534
"P10","P8",0.398
"P1","P9",-0.314
"P2","P9",0.109
"P3","P9",0.077
"P4","P9",0.237
"P5","P9",-0.206
"P6","P9",0
"P7","P9",-0.046
"P8","P9",0.534
"P9","P9",0
"P10","P9",-0.09
"P1","P10",0.056
"P2","P10",0.566
"P3","P10",0.028
"P4","P10",-0.136
"P5","P10",0.048
"P6","P10",0.016
"P7","P10",2.398
"P8","P10",0.398
"P9","P10",-0.09
"P10","P10",0
