"chr","pos","score","method"
"chr1",83832,1.526,"xpclr"
"chr1",167833,1.356,"xpclr"
"chr1",251833,1.505,"xpclr"
"chr1",335833,2.481,"xpclr"
"chr1",419834,2.577,"xpclr"
"chr1",503834,2.947,"xpclr"
"chr1",587834,3.139,"xpclr"
"chr1",671835,2.3,"xpclr"
"chr1",755835,2.624,"xpclr"
"chr1",839835,2.315,"xpclr"
"chr1",923836,1.566,"xpclr"
"chr1",1007836,1.433,"xpclr"
"chr1",1091836,1.439,"xpclr"
"chr1",1175837,1.929,"xpclr"
"chr1",1259837,2.044,"xpclr"
"chr1",1343837,2.031,"xpclr"
"chr1",1427838,1.22,"xpclr"
"chr1",1511838,1.006,"xpclr"
"chr1",1595838,0.909,"xpclr"
"chr1",1679839,0.813,"xpclr"
"chr1",1763839,0.67,"xpclr"
"chr1",1847839,0.733,"xpclr"
"chr1",1931840,1.811,"xpclr"
"chr1",2015840,1.096,"xpclr"
"chr1",2099840,1.813,"xpclr"
"chr1",2183841,1.812,"xpclr"
"chr1",2267841,2.195,"xpclr"
"chr1",2351841,1.8,"xpclr"
"chr1",2435842,1.832,"xpclr"
"chr1",2519842,1.962,"xpclr"
"chr1",2603842,2.859,"xpclr"
"chr1",2687843,3.723,"xpclr"
"chr1",2771843,3.432,"xpclr"
"chr1",2855843,4.343,"xpclr"
"chr1",2939844,3.492,"xpclr"
"chr1",3023844,2.519,"xpclr"
"chr1",3107844,1.764,"xpclr"
"chr1",3191845,1.16,"xpclr"
"chr1",3275845,1.609,"xpclr"
"chr1",3359845,1.513,"xpclr"
"chr1",3443846,1.055,"xpclr"
"chr1",3527846,1.174,"xpclr"
"chr1",3611846,1.836,"xpclr"
"chr1",3695847,2.061,"xpclr"
"chr1",3779847,1.661,"xpclr"
"chr1",3863847,2.654,"xpclr"
"chr1",3947848,2.298,"xpclr"
"chr1",4031848,3.392,"xpclr"
"chr1",4115848,4.712,"xpclr"
"chr1",4199849,3.032,"xpclr"
"chr1",4283849,2.764,"xpclr"
"chr1",4367849,2.717,"xpclr"
"chr1",4451850,2.618,"xpclr"
"chr1",4535850,2.379,"xpclr"
"chr1",4619850,3.711,"xpclr"
"chr1",4703851,2.888,"xpclr"
"chr1",4787851,1.705,"xpclr"
"chr1",4871851,1.52,"xpclr"
"chr1",4955852,2.516,"xpclr"
"chr1",5039852,1.78,"xpclr"
"chr1",5123852,2.212,"xpclr"
"chr1",5207853,3.139,"xpclr"
"chr1",5291853,1.918,"xpclr"
"chr1",5375854,2.516,"xpclr"
"chr1",5459854,4.834,"xpclr"
"chr1",5543854,4.315,"xpclr"
"chr1",5627855,3.802,"xpclr"
"chr1",5711855,3.562,"xpclr"
"chr1",5795855,6.078,"xpclr"
"chr1",5879856,3.307,"xpclr"
"chr1",5963856,2.694,"xpclr"
"chr1",6047856,1.994,"xpclr"
"chr1",6131857,2.708,"xpclr"
"chr1",6215857,4.019,"xpclr"
"chr1",6299857,4.437,"xpclr"
"chr1",6383858,3.077,"xpclr"
"chr1",6467858,4.28,"xpclr"
"chr1",6551858,2.358,"xpclr"
"chr1",6635859,2.26,"xpclr"
"chr1",6719859,2.647,"xpclr"
"chr1",6803859,1.561,"xpclr"
"chr1",6887860,2.643,"xpclr"
"chr1",6971860,2.026,"xpclr"
"chr1",7055860,1.387,"xpclr"
"chr1",7139861,1.39,"xpclr"
"chr1",7223861,1.625,"xpclr"
"chr1",7307861,1.553,"xpclr"
"chr1",7391862,1.194,"xpclr"
"chr1",7475862,1.654,"xpclr"
"chr1",7559862,1.265,"xpclr"
"chr1",7643863,1.06,"xpclr"
"chr1",7727863,1.003,"xpclr"
"chr1",7811863,1.1,"xpclr"
"chr1",7895864,1.498,"xpclr"
"chr1",7979864,1.67,"xpclr"
"chr1",8063864,1.988,"xpclr"
"chr1",8147865,2.956,"xpclr"
"chr1",8231865,4.208,"xpclr"
"chr1",8315865,5.544,"xpclr"
"chr1",8399866,5.386,"xpclr"
"chr1",8483866,3.29,"xpclr"
"chr1",8567866,3.313,"xpclr"
"chr1",8651867,4.031,"xpclr"
"chr1",8735867,3.286,"xpclr"
"chr1",8819867,3.873,"xpclr"
"chr1",8903868,3.145,"xpclr"
"chr1",8987868,3.626,"xpclr"
"chr1",9071868,3.006,"xpclr"
"chr1",9155869,2.237,"xpclr"
"chr1",9239869,2.92,"xpclr"
"chr1",9323869,4.699,"xpclr"
"chr1",9407870,1.901,"xpclr"
"chr1",9491870,2.012,"xpclr"
"chr1",9575870,3.146,"xpclr"
"chr1",9659871,2.248,"xpclr"
"chr1",9743871,2.917,"xpclr"
"chr1",9827871,3.462,"xpclr"
"chr1",9911872,4.307,"xpclr"
"chr1",9995872,6.027,"xpclr"
