"bin_i","bin_j","chr","count"
1,1,"Chr1",1750
1,2,"Chr1",1092
1,3,"Chr1",853
1,4,"Chr1",641
1,5,"Chr1",469
1,6,"Chr1",327
1,7,"Chr1",250
1,8,"Chr1",221
1,9,"Chr1",77
1,10,"Chr1",58
1,11,"Chr1",70
1,12,"Chr1",58
1,13,"Chr1",53
1,14,"Chr1",38
1,15,"Chr1",54
1,16,"Chr1",49
1,17,"Chr1",76
1,18,"Chr1",65
1,19,"Chr1",48
1,20,"Chr1",54
1,21,"Chr1",53
1,22,"Chr1",47
1,23,"Chr1",32
1,24,"Chr1",39
1,25,"Chr1",3
1,26,"Chr1",6
1,27,"Chr1",4
1,28,"Chr1",3
1,29,"Chr1",3
1,30,"Chr1",1
1,31,"Chr1",1
1,32,"Chr1",1
1,33,"Chr1",4
1,34,"Chr1",3
1,35,"Chr1",6
1,36,"Chr1",5
1,37,"Chr1",1
1,38,"Chr1",3
1,39,"Chr1",7
1,40,"Chr1",6
1,41,"Chr1",4
1,42,"Chr1",3
1,43,"Chr1",7
1,44,"Chr1",5
1,45,"Chr1",2
1,46,"Chr1",4
1,47,"Chr1",2
1,48,"Chr1",0
1,49,"Chr1",5
1,50,"Chr1",3
1,51,"Chr1",7
1,52,"Chr1",3
1,53,"Chr1",5
1,54,"Chr1",3
1,55,"Chr1",4
1,56,"Chr1",5
1,57,"Chr1",2
1,58,"Chr1",2
1,59,"Chr1",2
1,60,"Chr1",1
1,61,"Chr1",2
1,62,"Chr1",2
1,63,"Chr1",3
1,64,"Chr1",2
1,65,"Chr1",1
1,66,"Chr1",7
1,67,"Chr1",1
1,68,"Chr1",1
1,69,"Chr1",3
1,70,"Chr1",5
1,71,"Chr1",3
1,72,"Chr1",3
1,73,"Chr1",3
1,74,"Chr1",5
1,75,"Chr1",2
1,76,"Chr1",1
1,77,"Chr1",3
1,78,"Chr1",3
1,79,"Chr1",5
1,80,"Chr1",1
2,1,"Chr1",1092
2,2,"Chr1",3072
2,3,"Chr1",1846
2,4,"Chr1",1319
2,5,"Chr1",992
2,6,"Chr1",689
2,7,"Chr1",455
2,8,"Chr1",304
2,9,"Chr1",99
2,10,"Chr1",65
2,11,"Chr1",67
2,12,"Chr1",59
2,13,"Chr1",56
2,14,"Chr1",54
2,15,"Chr1",40
2,16,"Chr1",57
2,17,"Chr1",74
2,18,"Chr1",61
2,19,"Chr1",47
2,20,"Chr1",61
2,21,"Chr1",62
2,22,"Chr1",57
2,23,"Chr1",40
2,24,"Chr1",41
2,25,"Chr1",6
2,26,"Chr1",5
2,27,"Chr1",3
2,28,"Chr1",5
2,29,"Chr1",1
2,30,"Chr1",1
2,31,"Chr1",3
2,32,"Chr1",2
2,33,"Chr1",4
2,34,"Chr1",2
2,35,"Chr1",1
2,36,"Chr1",4
2,37,"Chr1",1
2,38,"Chr1",3
2,39,"Chr1",3
2,40,"Chr1",3
2,41,"Chr1",2
2,42,"Chr1",3
2,43,"Chr1",5
2,44,"Chr1",3
2,45,"Chr1",4
2,46,"Chr1",4
2,47,"Chr1",4
2,48,"Chr1",9
2,49,"Chr1",5
2,50,"Chr1",4
2,51,"Chr1",1
2,52,"Chr1",4
2,53,"Chr1",1
2,54,"Chr1",5
2,55,"Chr1",4
2,56,"Chr1",4
2,57,"Chr1",3
2,58,"Chr1",2
2,59,"Chr1",4
2,60,"Chr1",5
2,61,"Chr1",2
2,62,"Chr1",5
2,63,"Chr1",1
2,64,"Chr1",3
2,65,"Chr1",5
2,66,"Chr1",6
2,67,"Chr1",4
2,68,"Chr1",6
2,69,"Chr1",4
2,70,"Chr1",6
2,71,"Chr1",5
2,72,"Chr1",1
2,73,"Chr1",8
2,74,"Chr1",5
2,75,"Chr1",3
2,76,"Chr1",2
2,77,"Chr1",5
2,78,"Chr1",5
2,79,"Chr1",5
2,80,"Chr1",5
3,1,"Chr1",853
3,2,"Chr1",1846
3,3,"Chr1",4877
3,4,"Chr1",2682
3,5,"Chr1",1851
3,6,"Chr1",1171
3,7,"Chr1",703
3,8,"Chr1",429
3,9,"Chr1",112
3,10,"Chr1",74
3,11,"Chr1",87
3,12,"Chr1",57
3,13,"Chr1",56
3,14,"Chr1",57
3,15,"Chr1",58
3,16,"Chr1",47
3,17,"Chr1",70
3,18,"Chr1",77
3,19,"Chr1",56
3,20,"Chr1",57
3,21,"Chr1",56
3,22,"Chr1",54
3,23,"Chr1",48
3,24,"Chr1",52
3,25,"Chr1",4
3,26,"Chr1",6
3,27,"Chr1",1
3,28,"Chr1",4
3,29,"Chr1",0
3,30,"Chr1",5
3,31,"Chr1",5
3,32,"Chr1",8
3,33,"Chr1",2
3,34,"Chr1",5
3,35,"Chr1",3
3,36,"Chr1",1
3,37,"Chr1",1
3,38,"Chr1",3
3,39,"Chr1",3
3,40,"Chr1",2
3,41,"Chr1",5
3,42,"Chr1",6
3,43,"Chr1",4
3,44,"Chr1",4
3,45,"Chr1",2
3,46,"Chr1",5
3,47,"Chr1",1
3,48,"Chr1",2
3,49,"Chr1",3
3,50,"Chr1",3
3,51,"Chr1",3
3,52,"Chr1",4
3,53,"Chr1",4
3,54,"Chr1",2
3,55,"Chr1",5
3,56,"Chr1",3
3,57,"Chr1",1
3,58,"Chr1",5
3,59,"Chr1",5
3,60,"Chr1",4
3,61,"Chr1",2
3,62,"Chr1",3
3,63,"Chr1",2
3,64,"Chr1",6
3,65,"Chr1",7
3,66,"Chr1",4
3,67,"Chr1",2
3,68,"Chr1",5
3,69,"Chr1",9
3,70,"Chr1",4
3,71,"Chr1",7
3,72,"Chr1",9
3,73,"Chr1",4
3,74,"Chr1",6
3,75,"Chr1",1
3,76,"Chr1",5
3,77,"Chr1",6
3,78,"Chr1",4
3,79,"Chr1",2
3,80,"Chr1",3
4,1,"Chr1",641
4,2,"Chr1",1319
4,3,"Chr1",2682
4,4,"Chr1",6569
4,5,"Chr1",3073
4,6,"Chr1",1742
4,7,"Chr1",963
4,8,"Chr1",510
4,9,"Chr1",112
4,10,"Chr1",99
4,11,"Chr1",86
4,12,"Chr1",74
4,13,"Chr1",66
4,14,"Chr1",57
4,15,"Chr1",65
4,16,"Chr1",56
4,17,"Chr1",71
4,18,"Chr1",82
4,19,"Chr1",73
4,20,"Chr1",60
4,21,"Chr1",54
4,22,"Chr1",54
4,23,"Chr1",48
4,24,"Chr1",56
4,25,"Chr1",5
4,26,"Chr1",1
4,27,"Chr1",5
4,28,"Chr1",6
4,29,"Chr1",3
4,30,"Chr1",5
4,31,"Chr1",4
4,32,"Chr1",7
4,33,"Chr1",4
4,34,"Chr1",5
4,35,"Chr1",4
4,36,"Chr1",7
4,37,"Chr1",1
4,38,"Chr1",5
4,39,"Chr1",3
4,40,"Chr1",5
4,41,"Chr1",4
4,42,"Chr1",5
4,43,"Chr1",1
4,44,"Chr1",0
4,45,"Chr1",1
4,46,"Chr1",3
4,47,"Chr1",2
4,48,"Chr1",2
4,49,"Chr1",4
4,50,"Chr1",5
4,51,"Chr1",3
4,52,"Chr1",1
4,53,"Chr1",3
4,54,"Chr1",1
4,55,"Chr1",2
4,56,"Chr1",2
4,57,"Chr1",4
4,58,"Chr1",5
4,59,"Chr1",6
4,60,"Chr1",4
4,61,"Chr1",5
4,62,"Chr1",1
4,63,"Chr1",0
4,64,"Chr1",3
4,65,"Chr1",6
4,66,"Chr1",4
4,67,"Chr1",4
4,68,"Chr1",5
4,69,"Chr1",4
4,70,"Chr1",3
4,71,"Chr1",4
4,72,"Chr1",7
4,73,"Chr1",5
4,74,"Chr1",9
4,75,"Chr1",6
4,76,"Chr1",4
4,77,"Chr1",2
4,78,"Chr1",4
4,79,"Chr1",3
4,80,"Chr1",5
5,1,"Chr1",469
5,2,"Chr1",992
5,3,"Chr1",1851
5,4,"Chr1",3073
5,5,"Chr1",6168
5,6,"Chr1",2734
5,7,"Chr1",1364
5,8,"Chr1",647
5,9,"Chr1",128
5,10,"Chr1",97
5,11,"Chr1",83
5,12,"Chr1",75
5,13,"Chr1",58
5,14,"Chr1",71
5,15,"Chr1",49
5,16,"Chr1",54
5,17,"Chr1",91
5,18,"Chr1",102
5,19,"Chr1",63
5,20,"Chr1",52
5,21,"Chr1",53
5,22,"Chr1",59
5,23,"Chr1",62
5,24,"Chr1",57
5,25,"Chr1",3
5,26,"Chr1",5
5,27,"Chr1",6
5,28,"Chr1",3
5,29,"Chr1",3
5,30,"Chr1",5
5,31,"Chr1",7
5,32,"Chr1",7
5,33,"Chr1",6
5,34,"Chr1",7
5,35,"Chr1",5
5,36,"Chr1",6
5,37,"Chr1",4
5,38,"Chr1",11
5,39,"Chr1",2
5,40,"Chr1",6
5,41,"Chr1",2
5,42,"Chr1",9
5,43,"Chr1",4
5,44,"Chr1",4
5,45,"Chr1",6
5,46,"Chr1",4
5,47,"Chr1",3
5,48,"Chr1",1
5,49,"Chr1",5
5,50,"Chr1",4
5,51,"Chr1",3
5,52,"Chr1",6
5,53,"Chr1",8
5,54,"Chr1",5
5,55,"Chr1",4
5,56,"Chr1",4
5,57,"Chr1",6
5,58,"Chr1",5
5,59,"Chr1",6
5,60,"Chr1",2
5,61,"Chr1",1
5,62,"Chr1",3
5,63,"Chr1",6
5,64,"Chr1",3
5,65,"Chr1",3
5,66,"Chr1",3
5,67,"Chr1",3
5,68,"Chr1",4
5,69,"Chr1",2
5,70,"Chr1",5
5,71,"Chr1",10
5,72,"Chr1",3
5,73,"Chr1",4
5,74,"Chr1",3
5,75,"Chr1",6
5,76,"Chr1",6
5,77,"Chr1",9
5,78,"Chr1",4
5,79,"Chr1",3
5,80,"Chr1",3
6,1,"Chr1",327
6,2,"Chr1",689
6,3,"Chr1",1171
6,4,"Chr1",1742
6,5,"Chr1",2734
6,6,"Chr1",5024
6,7,"Chr1",1826
6,8,"Chr1",864
6,9,"Chr1",169
6,10,"Chr1",115
6,11,"Chr1",105
6,12,"Chr1",95
6,13,"Chr1",95
6,14,"Chr1",70
6,15,"Chr1",75
6,16,"Chr1",48
6,17,"Chr1",84
6,18,"Chr1",78
6,19,"Chr1",80
6,20,"Chr1",74
6,21,"Chr1",61
6,22,"Chr1",59
6,23,"Chr1",51
6,24,"Chr1",51
6,25,"Chr1",2
6,26,"Chr1",5
6,27,"Chr1",5
6,28,"Chr1",3
6,29,"Chr1",9
6,30,"Chr1",7
6,31,"Chr1",8
6,32,"Chr1",6
6,33,"Chr1",4
6,34,"Chr1",7
6,35,"Chr1",6
6,36,"Chr1",6
6,37,"Chr1",3
6,38,"Chr1",6
6,39,"Chr1",5
6,40,"Chr1",3
6,41,"Chr1",6
6,42,"Chr1",8
6,43,"Chr1",4
6,44,"Chr1",4
6,45,"Chr1",5
6,46,"Chr1",4
6,47,"Chr1",5
6,48,"Chr1",5
6,49,"Chr1",6
6,50,"Chr1",6
6,51,"Chr1",5
6,52,"Chr1",6
6,53,"Chr1",8
6,54,"Chr1",11
6,55,"Chr1",6
6,56,"Chr1",8
6,57,"Chr1",5
6,58,"Chr1",10
6,59,"Chr1",8
6,60,"Chr1",5
6,61,"Chr1",6
6,62,"Chr1",6
6,63,"Chr1",8
6,64,"Chr1",3
6,65,"Chr1",4
6,66,"Chr1",4
6,67,"Chr1",6
6,68,"Chr1",8
6,69,"Chr1",8
6,70,"Chr1",11
6,71,"Chr1",7
6,72,"Chr1",9
6,73,"Chr1",13
6,74,"Chr1",8
6,75,"Chr1",9
6,76,"Chr1",6
6,77,"Chr1",7
6,78,"Chr1",2
6,79,"Chr1",3
6,80,"Chr1",1
7,1,"Chr1",250
7,2,"Chr1",455
7,3,"Chr1",703
7,4,"Chr1",963
7,5,"Chr1",1364
7,6,"Chr1",1826
7,7,"Chr1",3089
7,8,"Chr1",1082
7,9,"Chr1",173
7,10,"Chr1",154
7,11,"Chr1",136
7,12,"Chr1",116
7,13,"Chr1",102
7,14,"Chr1",91
7,15,"Chr1",82
7,16,"Chr1",68
7,17,"Chr1",113
7,18,"Chr1",94
7,19,"Chr1",63
7,20,"Chr1",78
7,21,"Chr1",75
7,22,"Chr1",60
7,23,"Chr1",66
7,24,"Chr1",55
7,25,"Chr1",3
7,26,"Chr1",2
7,27,"Chr1",2
7,28,"Chr1",6
7,29,"Chr1",10
7,30,"Chr1",9
7,31,"Chr1",6
7,32,"Chr1",12
7,33,"Chr1",9
7,34,"Chr1",12
7,35,"Chr1",9
7,36,"Chr1",12
7,37,"Chr1",10
7,38,"Chr1",8
7,39,"Chr1",5
7,40,"Chr1",7
7,41,"Chr1",1
7,42,"Chr1",7
7,43,"Chr1",4
7,44,"Chr1",6
7,45,"Chr1",5
7,46,"Chr1",4
7,47,"Chr1",2
7,48,"Chr1",4
7,49,"Chr1",7
7,50,"Chr1",8
7,51,"Chr1",7
7,52,"Chr1",8
7,53,"Chr1",7
7,54,"Chr1",16
7,55,"Chr1",10
7,56,"Chr1",7
7,57,"Chr1",4
7,58,"Chr1",5
7,59,"Chr1",5
7,60,"Chr1",2
7,61,"Chr1",2
7,62,"Chr1",9
7,63,"Chr1",5
7,64,"Chr1",4
7,65,"Chr1",1
7,66,"Chr1",7
7,67,"Chr1",3
7,68,"Chr1",9
7,69,"Chr1",14
7,70,"Chr1",9
7,71,"Chr1",10
7,72,"Chr1",8
7,73,"Chr1",13
7,74,"Chr1",6
7,75,"Chr1",7
7,76,"Chr1",9
7,77,"Chr1",3
7,78,"Chr1",4
7,79,"Chr1",6
7,80,"Chr1",8
8,1,"Chr1",221
8,2,"Chr1",304
8,3,"Chr1",429
8,4,"Chr1",510
8,5,"Chr1",647
8,6,"Chr1",864
8,7,"Chr1",1082
8,8,"Chr1",1885
8,9,"Chr1",234
8,10,"Chr1",192
8,11,"Chr1",171
8,12,"Chr1",146
8,13,"Chr1",120
8,14,"Chr1",107
8,15,"Chr1",96
8,16,"Chr1",66
8,17,"Chr1",122
8,18,"Chr1",96
8,19,"Chr1",73
8,20,"Chr1",85
8,21,"Chr1",81
8,22,"Chr1",68
8,23,"Chr1",63
8,24,"Chr1",51
8,25,"Chr1",3
8,26,"Chr1",3
8,27,"Chr1",5
8,28,"Chr1",6
8,29,"Chr1",8
8,30,"Chr1",3
8,31,"Chr1",11
8,32,"Chr1",16
8,33,"Chr1",17
8,34,"Chr1",18
8,35,"Chr1",20
8,36,"Chr1",10
8,37,"Chr1",16
8,38,"Chr1",5
8,39,"Chr1",7
8,40,"Chr1",10
8,41,"Chr1",4
8,42,"Chr1",0
8,43,"Chr1",4
8,44,"Chr1",7
8,45,"Chr1",2
8,46,"Chr1",5
8,47,"Chr1",2
8,48,"Chr1",3
8,49,"Chr1",5
8,50,"Chr1",4
8,51,"Chr1",16
8,52,"Chr1",17
8,53,"Chr1",14
8,54,"Chr1",19
8,55,"Chr1",18
8,56,"Chr1",9
8,57,"Chr1",9
8,58,"Chr1",13
8,59,"Chr1",10
8,60,"Chr1",4
8,61,"Chr1",4
8,62,"Chr1",5
8,63,"Chr1",3
8,64,"Chr1",2
8,65,"Chr1",6
8,66,"Chr1",8
8,67,"Chr1",7
8,68,"Chr1",9
8,69,"Chr1",8
8,70,"Chr1",9
8,71,"Chr1",19
8,72,"Chr1",11
8,73,"Chr1",12
8,74,"Chr1",9
8,75,"Chr1",10
8,76,"Chr1",11
8,77,"Chr1",11
8,78,"Chr1",4
8,79,"Chr1",4
8,80,"Chr1",2
9,1,"Chr1",77
9,2,"Chr1",99
9,3,"Chr1",112
9,4,"Chr1",112
9,5,"Chr1",128
9,6,"Chr1",169
9,7,"Chr1",173
9,8,"Chr1",234
9,9,"Chr1",1952
9,10,"Chr1",1110
9,11,"Chr1",849
9,12,"Chr1",678
9,13,"Chr1",494
9,14,"Chr1",381
9,15,"Chr1",269
9,16,"Chr1",207
9,17,"Chr1",83
9,18,"Chr1",77
9,19,"Chr1",72
9,20,"Chr1",53
9,21,"Chr1",50
9,22,"Chr1",44
9,23,"Chr1",38
9,24,"Chr1",59
9,25,"Chr1",5
9,26,"Chr1",5
9,27,"Chr1",2
9,28,"Chr1",7
9,29,"Chr1",9
9,30,"Chr1",11
9,31,"Chr1",14
9,32,"Chr1",22
9,33,"Chr1",22
9,34,"Chr1",22
9,35,"Chr1",17
9,36,"Chr1",13
9,37,"Chr1",16
9,38,"Chr1",13
9,39,"Chr1",10
9,40,"Chr1",9
9,41,"Chr1",5
9,42,"Chr1",2
9,43,"Chr1",3
9,44,"Chr1",3
9,45,"Chr1",4
9,46,"Chr1",3
9,47,"Chr1",1
9,48,"Chr1",6
9,49,"Chr1",7
9,50,"Chr1",12
9,51,"Chr1",10
9,52,"Chr1",11
9,53,"Chr1",15
9,54,"Chr1",28
9,55,"Chr1",25
9,56,"Chr1",14
9,57,"Chr1",9
9,58,"Chr1",9
9,59,"Chr1",6
9,60,"Chr1",5
9,61,"Chr1",4
9,62,"Chr1",4
9,63,"Chr1",1
9,64,"Chr1",4
9,65,"Chr1",2
9,66,"Chr1",10
9,67,"Chr1",8
9,68,"Chr1",9
9,69,"Chr1",9
9,70,"Chr1",14
9,71,"Chr1",20
9,72,"Chr1",13
9,73,"Chr1",28
9,74,"Chr1",24
9,75,"Chr1",12
9,76,"Chr1",5
9,77,"Chr1",7
9,78,"Chr1",9
9,79,"Chr1",4
9,80,"Chr1",4
10,1,"Chr1",58
10,2,"Chr1",65
10,3,"Chr1",74
10,4,"Chr1",99
10,5,"Chr1",97
10,6,"Chr1",115
10,7,"Chr1",154
10,8,"Chr1",192
10,9,"Chr1",1110
10,10,"Chr1",2968
10,11,"Chr1",1877
10,12,"Chr1",1378
10,13,"Chr1",1007
10,14,"Chr1",694
10,15,"Chr1",462
10,16,"Chr1",289
10,17,"Chr1",94
10,18,"Chr1",76
10,19,"Chr1",74
10,20,"Chr1",66
10,21,"Chr1",59
10,22,"Chr1",58
10,23,"Chr1",53
10,24,"Chr1",50
10,25,"Chr1",10
10,26,"Chr1",5
10,27,"Chr1",0
10,28,"Chr1",5
10,29,"Chr1",14
10,30,"Chr1",14
10,31,"Chr1",28
10,32,"Chr1",14
10,33,"Chr1",16
10,34,"Chr1",26
10,35,"Chr1",17
10,36,"Chr1",28
10,37,"Chr1",14
10,38,"Chr1",20
10,39,"Chr1",12
10,40,"Chr1",9
10,41,"Chr1",5
10,42,"Chr1",2
10,43,"Chr1",2
10,44,"Chr1",6
10,45,"Chr1",2
10,46,"Chr1",5
10,47,"Chr1",4
10,48,"Chr1",10
10,49,"Chr1",10
10,50,"Chr1",17
10,51,"Chr1",20
10,52,"Chr1",31
10,53,"Chr1",25
10,54,"Chr1",25
10,55,"Chr1",22
10,56,"Chr1",23
10,57,"Chr1",12
10,58,"Chr1",12
10,59,"Chr1",16
10,60,"Chr1",11
10,61,"Chr1",5
10,62,"Chr1",2
10,63,"Chr1",2
10,64,"Chr1",3
10,65,"Chr1",7
10,66,"Chr1",5
10,67,"Chr1",8
10,68,"Chr1",28
10,69,"Chr1",20
10,70,"Chr1",22
10,71,"Chr1",25
10,72,"Chr1",21
10,73,"Chr1",22
10,74,"Chr1",19
10,75,"Chr1",24
10,76,"Chr1",18
10,77,"Chr1",4
10,78,"Chr1",3
10,79,"Chr1",7
10,80,"Chr1",3
11,1,"Chr1",70
11,2,"Chr1",67
11,3,"Chr1",87
11,4,"Chr1",86
11,5,"Chr1",83
11,6,"Chr1",105
11,7,"Chr1",136
11,8,"Chr1",171
11,9,"Chr1",849
11,10,"Chr1",1877
11,11,"Chr1",5031
11,12,"Chr1",2701
11,13,"Chr1",1691
11,14,"Chr1",1132
11,15,"Chr1",690
11,16,"Chr1",355
11,17,"Chr1",115
11,18,"Chr1",96
11,19,"Chr1",74
11,20,"Chr1",60
11,21,"Chr1",59
11,22,"Chr1",56
11,23,"Chr1",53
11,24,"Chr1",39
11,25,"Chr1",6
11,26,"Chr1",3
11,27,"Chr1",7
11,28,"Chr1",4
11,29,"Chr1",12
11,30,"Chr1",14
11,31,"Chr1",21
11,32,"Chr1",22
11,33,"Chr1",13
11,34,"Chr1",34
11,35,"Chr1",29
11,36,"Chr1",32
11,37,"Chr1",16
11,38,"Chr1",18
11,39,"Chr1",11
11,40,"Chr1",5
11,41,"Chr1",7
11,42,"Chr1",1
11,43,"Chr1",3
11,44,"Chr1",4
11,45,"Chr1",7
11,46,"Chr1",4
11,47,"Chr1",8
11,48,"Chr1",9
11,49,"Chr1",8
11,50,"Chr1",14
11,51,"Chr1",24
11,52,"Chr1",26
11,53,"Chr1",24
11,54,"Chr1",34
11,55,"Chr1",34
11,56,"Chr1",25
11,57,"Chr1",24
11,58,"Chr1",14
11,59,"Chr1",12
11,60,"Chr1",7
11,61,"Chr1",3
11,62,"Chr1",6
11,63,"Chr1",4
11,64,"Chr1",3
11,65,"Chr1",5
11,66,"Chr1",9
11,67,"Chr1",14
11,68,"Chr1",11
11,69,"Chr1",22
11,70,"Chr1",23
11,71,"Chr1",26
11,72,"Chr1",35
11,73,"Chr1",28
11,74,"Chr1",15
11,75,"Chr1",23
11,76,"Chr1",14
11,77,"Chr1",8
11,78,"Chr1",7
11,79,"Chr1",6
11,80,"Chr1",4
12,1,"Chr1",58
12,2,"Chr1",59
12,3,"Chr1",57
12,4,"Chr1",74
12,5,"Chr1",75
12,6,"Chr1",95
12,7,"Chr1",116
12,8,"Chr1",146
12,9,"Chr1",678
12,10,"Chr1",1378
12,11,"Chr1",2701
12,12,"Chr1",6186
12,13,"Chr1",3164
12,14,"Chr1",1751
12,15,"Chr1",939
12,16,"Chr1",482
12,17,"Chr1",128
12,18,"Chr1",98
12,19,"Chr1",71
12,20,"Chr1",65
12,21,"Chr1",68
12,22,"Chr1",60
12,23,"Chr1",53
12,24,"Chr1",61
12,25,"Chr1",3
12,26,"Chr1",8
12,27,"Chr1",6
12,28,"Chr1",10
12,29,"Chr1",13
12,30,"Chr1",15
12,31,"Chr1",26
12,32,"Chr1",17
12,33,"Chr1",31
12,34,"Chr1",26
12,35,"Chr1",20
12,36,"Chr1",25
12,37,"Chr1",18
12,38,"Chr1",19
12,39,"Chr1",10
12,40,"Chr1",8
12,41,"Chr1",4
