"chr","start","end","value","link_to"
"Chr1",0,3120000,4.6,""
"Chr1",3120000,6240000,2.249,""
"Chr1",6240000,9360000,8.584,""
"Chr1",9360000,12480000,13.959,""
"Chr1",12480000,15600000,19.157,""
"Chr1",15600000,18720000,22.768,""
"Chr1",18720000,21840000,19.335,""
"Chr1",21840000,24960000,11.871,""
"Chr1",24960000,28080000,8.16,""
"Chr1",28080000,31200000,6.15,""
"Chr1",31200000,34320000,6.659,""
"Chr1",34320000,37440000,5.434,""
"Chr1",37440000,40560000,4.881,""
"Chr1",40560000,43680000,5.748,""
"Chr1",43680000,46800000,7.489,""
"Chr1",46800000,49920000,11.634,""
"Chr1",49920000,53040000,13.901,""
"Chr1",53040000,56160000,16.32,""
"Chr1",56160000,59280000,15.45,""
"Chr1",59280000,62400000,14.487,""
"Chr1",62400000,65520000,10.21,""
"Chr1",65520000,68640000,8.804,""
"Chr1",68640000,71760000,7.259,""
"Chr1",71760000,74880000,4.929,""
"Chr1",74880000,7.8e+07,2.509,""
"Chr2",0,2640000,4.821,""
"Chr2",2640000,5280000,3.625,""
"Chr2",5280000,7920000,9.262,""
"Chr2",7920000,10560000,14.137,""
"Chr2",10560000,13200000,18.172,""
"Chr2",13200000,15840000,21.633,""
"Chr2",15840000,18480000,20.753,""
"Chr2",18480000,21120000,13.283,""
"Chr2",21120000,23760000,8.569,""
"Chr2",23760000,26400000,5.308,""
"Chr2",26400000,29040000,4.537,""
"Chr2",29040000,31680000,4.479,""
"Chr2",31680000,34320000,5.075,""
"Chr2",34320000,36960000,5.755,""
"Chr2",36960000,39600000,8.574,""
"Chr2",39600000,42240000,10.702,""
"Chr2",42240000,44880000,14.765,""
"Chr2",44880000,47520000,14.989,""
"Chr2",47520000,50160000,14.688,""
"Chr2",50160000,52800000,14.149,""
"Chr2",52800000,55440000,9.845,""
"Chr2",55440000,58080000,7.624,""
"Chr2",58080000,60720000,7.026,""
"Chr2",60720000,63360000,5.111,""
"Chr2",63360000,6.6e+07,6.339,""
"Chr3",0,2320000,4.885,""
"Chr3",2320000,4640000,6.203,""
"Chr3",4640000,6960000,6.674,""
"Chr3",6960000,9280000,15.057,""
"Chr3",9280000,11600000,19.162,""
"Chr3",11600000,13920000,21.554,""
"Chr3",13920000,16240000,21.111,""
"Chr3",16240000,18560000,12.679,""
"Chr3",18560000,20880000,9.25,""
"Chr3",20880000,23200000,6.818,""
"Chr3",23200000,25520000,5.777,""
"Chr3",25520000,27840000,4.448,""
"Chr3",27840000,30160000,5.001,""
"Chr3",30160000,32480000,6.55,""
"Chr3",32480000,34800000,5.891,""
"Chr3",34800000,37120000,12.128,""
"Chr3",37120000,39440000,14.088,""
"Chr3",39440000,41760000,14.106,""
"Chr3",41760000,44080000,14.852,""
"Chr3",44080000,46400000,13.402,""
"Chr3",46400000,48720000,11.057,""
"Chr3",48720000,51040000,8.924,""
"Chr3",51040000,53360000,5.798,""
"Chr3",53360000,55680000,3.098,""
"Chr3",55680000,5.8e+07,4.183,""
"Chr4",0,2040000,4.059,""
"Chr4",2040000,4080000,4.062,""
"Chr4",4080000,6120000,7.738,""
"Chr4",6120000,8160000,14.488,""
"Chr4",8160000,10200000,17.666,""
"Chr4",10200000,12240000,23.423,""
"Chr4",12240000,14280000,19.875,""
"Chr4",14280000,16320000,13.727,""
"Chr4",16320000,18360000,7.004,""
"Chr4",18360000,20400000,5.6,""
"Chr4",20400000,22440000,3.948,""
"Chr4",22440000,24480000,5.492,""
"Chr4",24480000,26520000,6.423,""
"Chr4",26520000,28560000,4.356,""
"Chr4",28560000,30600000,9.901,""
"Chr4",30600000,32640000,9.868,""
"Chr4",32640000,34680000,12.354,""
"Chr4",34680000,36720000,15.962,""
"Chr4",36720000,38760000,15.281,""
"Chr4",38760000,40800000,13.068,""
"Chr4",40800000,42840000,10.804,""
"Chr4",42840000,44880000,8.864,""
"Chr4",44880000,46920000,5.719,""
"Chr4",46920000,48960000,5.704,""
"Chr4",48960000,5.1e+07,3.652,""
"Chr5",0,1760000,4.765,""
"Chr5",1760000,3520000,4.684,""
"Chr5",3520000,5280000,7.403,""
"Chr5",5280000,7040000,14.808,""
"Chr5",7040000,8800000,18.656,""
"Chr5",8800000,10560000,24.015,""
"Chr5",10560000,12320000,19.054,""
"Chr5",12320000,14080000,13.788,""
"Chr5",14080000,15840000,6.694,""
"Chr5",15840000,17600000,6.786,""
"Chr5",17600000,19360000,4.969,""
"Chr5",19360000,21120000,4.165,""
"Chr5",21120000,22880000,6.591,""
"Chr5",22880000,24640000,7.051,""
"Chr5",24640000,26400000,9.804,""
"Chr5",26400000,28160000,11.984,""
"Chr5",28160000,29920000,13.525,""
"Chr5",29920000,31680000,17.213,""
"Chr5",31680000,33440000,16.211,""
"Chr5",33440000,35200000,14.412,""
"Chr5",35200000,36960000,9.672,""
"Chr5",36960000,38720000,7.529,""
"Chr5",38720000,40480000,4.499,""
"Chr5",40480000,42240000,4.277,""
"Chr5",42240000,4.4e+07,6.937,""
"Chr6",0,1480000,3.24,""
"Chr6",1480000,2960000,8.487,""
"Chr6",2960000,4440000,8.952,""
"Chr6",4440000,5920000,13.174,""
"Chr6",5920000,7400000,19.261,""
"Chr6",7400000,8880000,22.523,""
"Chr6",8880000,10360000,18.675,""
"Chr6",10360000,11840000,13.106,""
"Chr6",11840000,13320000,6.74,""
"Chr6",13320000,14800000,6.637,""
"Chr6",14800000,16280000,3.879,""
"Chr6",16280000,17760000,4.424,""
"Chr6",17760000,19240000,5.253,""
"Chr6",19240000,20720000,5.648,""
"Chr6",20720000,22200000,8.526,""
