"genome","chr","start","end","block","identity"
"A","A1",0,8.2e+07,"",NA
"B","B1",0,7.9e+07,"",NA
"A","A2",0,6.4e+07,"",NA
"B","B2",0,6.7e+07,"",NA
"A","A3",0,5.3e+07,"",NA
"B","B3",0,5e+07,"",NA
"A","A4",0,4.1e+07,"",NA
"B","B4",0,4.4e+07,"",NA
"A","A1",10705634,20652311,"B01",84.63
"B","B1",9923522,20785909,"B01",84.63
"A","A1",19086854,28125194,"B02",95.07
"B","B1",17429093,25974396,"B02",95.07
"A","A1",36373732,26233591,"B03",87.12
"B","B1",25008704,34594210,"B03",87.12
"A","A1",34740858,43452051,"B04",93.69
"B","B1",32840331,42571812,"B04",93.69
"A","A1",43400817,51688792,"B05",95.43
"B","B1",41777344,49599345,"B05",95.43
"A","A1",50695606,60131581,"B06",94.5
"B","B1",49801997,58250256,"B06",94.5
"A","A2",8800369,19647378,"B07",81.54
"B","B2",7985241,20022524,"B07",81.54
"A","A2",13786331,24320435,"B08",89
"B","B2",12772135,24105878,"B08",89
"A","A2",20636678,27934725,"B09",81.75
"B","B2",21955623,29680860,"B09",81.75
"A","A2",35977612,25721230,"B10",91.29
"B","B2",26309357,35914892,"B10",91.29
"A","A2",30640747,42117838,"B11",79.62
"B","B2",32625962,45097211,"B11",79.62
"A","A2",38803619,47003346,"B12",93.57
"B","B3",6565609,13795280,"B12",93.57
"A","A3",6770369,18670421,"B13",95.02
"B","B3",11193038,23643977,"B13",95.02
"A","A3",23911517,12116914,"B14",83.95
"B","B3",15867617,26356667,"B14",83.95
"A","A3",17647940,27559257,"B15",84.01
"B","B3",21967480,30950560,"B15",84.01
"A","A3",22636877,33886453,"B16",95.17
"B","B3",24171815,36396015,"B16",95.17
"A","A3",28084539,38587786,"B17",88.96
"B","B3",30182233,41321405,"B17",88.96
"A","A4",5302273,12976028,"B18",80.66
"B","B4",6906390,14813370,"B18",80.66
"A","A4",11009503,18177014,"B19",87.27
"B","B4",10671863,17380374,"B19",87.27
"A","A4",24343263,15013833,"B20",81.83
"B","B4",16880808,24898826,"B20",81.83
"A","A4",17993861,29335912,"B21",94.27
"B","B4",20998337,31850389,"B21",94.27
"A","A1",59395928,67679236,"B22",79.51
"B","B2",41825462,49597001,"B22",79.51
"A","A2",52173460,45027530,"B23",87.03
"B","B4",30361041,36482696,"B23",87.03
"A","A3",33565447,44069686,"B24",91.27
"B","B1",55948801,65128506,"B24",91.27
"A","A4",26045489,33561618,"B25",81.24
"B","B2",48631760,55716068,"B25",81.24
"A","A1",18261664,18261664,"B01",85.31
"B","B1",18003577,18003577,"B01",85.31
"A","A1",16796935,16796935,"B01",84.15
"B","B1",16852000,16852000,"B01",84.15
"A","A1",11692278,11692278,"B01",86.54
"B","B1",11127445,11127445,"B01",86.54
"A","A1",16968522,16968522,"B01",85.7
"B","B1",17118420,17118420,"B01",85.7
"A","A1",16443395,16443395,"B01",81.99
"B","B1",15892433,15892433,"B01",81.99
"A","A1",17055676,17055676,"B01",91.1
"B","B1",16386522,16386522,"B01",91.1
"A","A1",15068674,15068674,"B01",86.47
"B","B1",14175411,14175411,"B01",86.47
"A","A1",15133505,15133505,"B01",82.67
"B","B1",15192700,15192700,"B01",82.67
"A","A1",14882501,14882501,"B01",82.89
"B","B1",14166951,14166951,"B01",82.89
"A","A1",11453898,11453898,"B01",86.44
"B","B1",11184716,11184716,"B01",86.44
"A","A1",14563025,14563025,"B01",84.53
