"chr","start","end","feature","value"
"Chr1",0,6.2e+07,"chromosome",NA
"Chr1",22760000,24360000,"centromere",NA
"Chr1",0,2480000,"density",34.19
"Chr1",2480000,4960000,"density",35.3
"Chr1",4960000,7440000,"density",35.46
"Chr1",7440000,9920000,"density",34.64
"Chr1",9920000,12400000,"density",35.77
"Chr1",12400000,14880000,"density",33.71
"Chr1",14880000,17360000,"density",27.26
"Chr1",17360000,19840000,"density",17.91
"Chr1",19840000,22320000,"density",14
"Chr1",22320000,24800000,"density",6.75
"Chr1",24800000,27280000,"density",13.28
"Chr1",27280000,29760000,"density",22.89
"Chr1",29760000,32240000,"density",27.26
"Chr1",32240000,34720000,"density",35.83
"Chr1",34720000,37200000,"density",38.67
"Chr1",37200000,39680000,"density",35.59
"Chr1",39680000,42160000,"density",39.16
"Chr1",42160000,44640000,"density",35.1
"Chr1",44640000,47120000,"density",37.53
"Chr1",47120000,49600000,"density",38.31
"Chr1",49600000,52080000,"density",36.54
"Chr1",52080000,54560000,"density",37.41
"Chr1",54560000,57040000,"density",37.45
"Chr1",57040000,59520000,"density",37.2
"Chr1",59520000,6.2e+07,"density",36.57
"Chr2",0,5.4e+07,"chromosome",NA
"Chr2",16580000,17980000,"centromere",NA
"Chr2",0,2160000,"density",36.4
"Chr2",2160000,4320000,"density",36.92
"Chr2",4320000,6480000,"density",36.67
"Chr2",6480000,8640000,"density",34.94
"Chr2",8640000,10800000,"density",36.64
"Chr2",10800000,12960000,"density",27.58
"Chr2",12960000,15120000,"density",18.76
"Chr2",15120000,17280000,"density",8.49
"Chr2",17280000,19440000,"density",7.49
"Chr2",19440000,21600000,"density",16.68
"Chr2",21600000,23760000,"density",25.54
"Chr2",23760000,25920000,"density",30.88
"Chr2",25920000,28080000,"density",36.82
"Chr2",28080000,30240000,"density",33.2
"Chr2",30240000,32400000,"density",34.82
"Chr2",32400000,34560000,"density",38.94
"Chr2",34560000,36720000,"density",36.96
"Chr2",36720000,38880000,"density",35.83
"Chr2",38880000,41040000,"density",36.83
"Chr2",41040000,43200000,"density",37.74
"Chr2",43200000,45360000,"density",36.53
"Chr2",45360000,47520000,"density",38.96
"Chr2",47520000,49680000,"density",34.21
"Chr2",49680000,51840000,"density",36.4
"Chr2",51840000,5.4e+07,"density",34.94
"Chr3",0,4.8e+07,"chromosome",NA
"Chr3",19510000,20810000,"centromere",NA
"Chr3",0,1920000,"density",34.57
"Chr3",1920000,3840000,"density",37.94
"Chr3",3840000,5760000,"density",36.03
"Chr3",5760000,7680000,"density",39.57
"Chr3",7680000,9600000,"density",36.81
"Chr3",9600000,11520000,"density",37.13
"Chr3",11520000,13440000,"density",36.14
"Chr3",13440000,15360000,"density",28.72
"Chr3",15360000,17280000,"density",21.74
"Chr3",17280000,19200000,"density",13.33
"Chr3",19200000,21120000,"density",7.63
"Chr3",21120000,23040000,"density",14.97
"Chr3",23040000,24960000,"density",21.13
"Chr3",24960000,26880000,"density",25.59
"Chr3",26880000,28800000,"density",36.12
"Chr3",28800000,30720000,"density",35.64
"Chr3",30720000,32640000,"density",36.37
"Chr3",32640000,34560000,"density",34.44
"Chr3",34560000,36480000,"density",35.31
"Chr3",36480000,38400000,"density",37.45
"Chr3",38400000,40320000,"density",36.38
"Chr3",40320000,42240000,"density",34.9
"Chr3",42240000,44160000,"density",36.05
"Chr3",44160000,46080000,"density",35.86
"Chr3",46080000,4.8e+07,"density",35.84
"Chr4",0,4.1e+07,"chromosome",NA
"Chr4",10880000,12080000,"centromere",NA
"Chr4",0,1640000,"density",35.05
"Chr4",1640000,3280000,"density",34.26
"Chr4",3280000,4920000,"density",32.23
"Chr4",4920000,6560000,"density",29.04
"Chr4",6560000,8200000,"density",24.6
"Chr4",8200000,9840000,"density",17.11
"Chr4",9840000,11480000,"density",11.29
"Chr4",11480000,13120000,"density",9.29
"Chr4",13120000,14760000,"density",16.99
"Chr4",14760000,16400000,"density",21.39
"Chr4",16400000,18040000,"density",34.06
"Chr4",18040000,19680000,"density",38.12
"Chr4",19680000,21320000,"density",36.22
"Chr4",21320000,22960000,"density",36.93
"Chr4",22960000,24600000,"density",35.15
"Chr4",24600000,26240000,"density",34.42
"Chr4",26240000,27880000,"density",36.96
"Chr4",27880000,29520000,"density",38.67
"Chr4",29520000,31160000,"density",34.4
"Chr4",31160000,32800000,"density",36.34
"Chr4",32800000,34440000,"density",35.13
"Chr4",34440000,36080000,"density",37.62
"Chr4",36080000,37720000,"density",36.72
"Chr4",37720000,39360000,"density",35.67
"Chr4",39360000,4.1e+07,"density",37.95
"Chr5",0,3.6e+07,"chromosome",NA
"Chr5",15650000,16750000,"centromere",NA
"Chr5",0,1440000,"density",34.43
"Chr5",1440000,2880000,"density",35.94
"Chr5",2880000,4320000,"density",34.52
"Chr5",4320000,5760000,"density",35.93
"Chr5",5760000,7200000,"density",35.46
"Chr5",7200000,8640000,"density",33.92
"Chr5",8640000,10080000,"density",39.91
"Chr5",10080000,11520000,"density",33.92
"Chr5",11520000,12960000,"density",27.8
"Chr5",12960000,14400000,"density",18.32
"Chr5",14400000,15840000,"density",10.21
"Chr5",15840000,17280000,"density",4.13
"Chr5",17280000,18720000,"density",14.6
"Chr5",18720000,20160000,"density",24.92
"Chr5",20160000,21600000,"density",32.81
