"chr","pos","stat","value"
"chr1",104738,"fst",0.0779
"chr1",209739,"fst",0.1013
"chr1",314739,"fst",0.1225
"chr1",419740,"fst",0.1076
"chr1",524741,"fst",0.1425
"chr1",629741,"fst",0.1474
"chr1",734742,"fst",0.1384
"chr1",839743,"fst",0.1833
"chr1",944743,"fst",0.1925
"chr1",1049744,"fst",0.1612
"chr1",1154745,"fst",0.1852
"chr1",1259745,"fst",0.1645
"chr1",1364746,"fst",0.1752
"chr1",1469747,"fst",0.1589
"chr1",1574747,"fst",0.145
"chr1",1679748,"fst",0.1297
"chr1",1784749,"fst",0.1666
"chr1",1889749,"fst",0.0999
"chr1",1994750,"fst",0.0566
"chr1",2099751,"fst",0.0418
"chr1",2204751,"fst",0.0283
"chr1",2309752,"fst",0.0305
"chr1",2414753,"fst",0.0194
"chr1",2519753,"fst",0
"chr1",2624754,"fst",0.0171
"chr1",2729755,"fst",0.0024
"chr1",2834755,"fst",0
"chr1",2939756,"fst",0.014
"chr1",3044757,"fst",0
"chr1",3149757,"fst",0
"chr1",3254758,"fst",0.04
"chr1",3359758,"fst",0.0093
"chr1",3464759,"fst",0
"chr1",3569760,"fst",0.0031
"chr1",3674760,"fst",0.0343
"chr1",3779761,"fst",0.0386
"chr1",3884762,"fst",0.0229
"chr1",3989762,"fst",0.0431
"chr1",4094763,"fst",0.0877
"chr1",4199764,"fst",0.0595
"chr1",4304764,"fst",0.0498
"chr1",4409765,"fst",0.0951
"chr1",4514766,"fst",0.0588
"chr1",4619766,"fst",0.0969
"chr1",4724767,"fst",0.101
"chr1",4829768,"fst",0.0667
"chr1",4934768,"fst",0.0367
"chr1",5039769,"fst",0.0747
"chr1",5144770,"fst",0.0895
"chr1",5249770,"fst",0.1005
"chr1",5354771,"fst",0.1371
"chr1",5459772,"fst",0.1388
"chr1",5564772,"fst",0.1136
"chr1",5669773,"fst",0.1233
"chr1",5774774,"fst",0.1764
"chr1",5879774,"fst",0.1668
"chr1",5984775,"fst",0.1841
"chr1",6089776,"fst",0.1251
"chr1",6194776,"fst",0.0996
"chr1",6299777,"fst",0.091
"chr1",6404778,"fst",0.0672
"chr1",6509778,"fst",0.0722
"chr1",6614779,"fst",0.0426
"chr1",6719779,"fst",0.0587
"chr1",6824780,"fst",0.0367
"chr1",6929781,"fst",0.0992
"chr1",7034781,"fst",0.104
"chr1",7139782,"fst",0.1546
"chr1",7244783,"fst",0.1381
"chr1",7349783,"fst",0.1711
"chr1",7454784,"fst",0.1897
"chr1",7559785,"fst",0.1687
"chr1",7664785,"fst",0.1501
"chr1",7769786,"fst",0.1775
"chr1",7874787,"fst",0.1707
"chr1",7979787,"fst",0.1685
"chr1",8084788,"fst",0.1291
"chr1",8189789,"fst",0.1081
"chr1",8294789,"fst",0.1603
"chr1",8399790,"fst",0.1583
